iter	RMSE
0	1.298747311
1	1.289162167
2	1.279688165
3	1.269276646
4	1.259733358
5	1.250716795
6	1.241548204
7	1.232535745
8	1.223975578
9	1.216712271
10	1.208711316
11	1.202122764
12	1.1945488
13	1.187124103
14	1.180238831
15	1.173138401
16	1.166827855
17	1.160048805
18	1.152984435
19	1.147289082
20	1.141577349
21	1.135600693
22	1.130181495
23	1.124504612
24	1.118934302
25	1.114081016
26	1.109495859
27	1.104428532
28	1.099841549
29	1.095484412
30	1.091566826
31	1.087215993
32	1.083453152
33	1.079507329
34	1.075327236
35	1.071643876
36	1.067365764
37	1.063022826
38	1.059982962
39	1.056898782
40	1.05223982
41	1.04902636
42	1.045804874
43	1.04184032
44	1.039080974
45	1.035433441
46	1.032465782
47	1.029138409
48	1.025384351
49	1.022056492
50	1.018426553
51	1.01495386
52	1.012184649
53	1.009265887
54	1.005995364
55	1.00286474
56	0.9998139889
57	0.9973607716
58	0.9943555241
59	0.9920397848
60	0.9896128731
61	0.987292691
62	0.9852409634
63	0.9830224106
64	0.9806633459
65	0.9778793224
66	0.974843147
67	0.9731026612
68	0.9709137583
69	0.9675226108
70	0.9656564891
71	0.9634119942
72	0.9611501627
73	0.957775263
74	0.9549078025
75	0.9527739117
76	0.9496473328
77	0.9474169542
78	0.945317622
79	0.9433824976
80	0.9403988089
81	0.9382548575
82	0.9369140203
83	0.9344121927
84	0.9331467161
85	0.9297760633
86	0.9268461822
87	0.9243779803
88	0.9224265191
89	0.9204228102
90	0.9185801539
91	0.9167302951
92	0.9145099352
93	0.9131186303
94	0.911954202
95	0.9102452105
96	0.9088120099
97	0.9077915854
98	0.9062151113
99	0.9046919984
100	0.9023907544
101	0.9009493287
102	0.8994788746
103	0.8980516159
104	0.8967717712
105	0.8948755975
106	0.8934171984
107	0.8922203703
108	0.8900874245
109	0.8886538523
110	0.8871417967
111	0.88577864
112	0.8843307539
113	0.8822055458
114	0.8800403012
115	0.8774991496
116	0.8758068971
117	0.8748205581
118	0.8732182406
119	0.8709258473
120	0.8700524765
121	0.8682401996
122	0.866922371
123	0.8657421911
124	0.8637870396
125	0.8626435837
126	0.861503514
127	0.8595217068
128	0.8583305916
129	0.8564790381
130	0.8555248542
131	0.8533318045
132	0.8525034605
133	0.850947821
134	0.8490502578
135	0.8478680542
136	0.8471475212
137	0.8459993995
138	0.8442914498
139	0.8427598451
140	0.8414790217
141	0.8405922419
142	0.8395186713
143	0.8385438665
144	0.8376323263
145	0.8363739575
146	0.8355961124
147	0.8344290588
148	0.8329113916
149	0.8318935044
150	0.8304396763
151	0.8291115539
152	0.8282690011
153	0.826518298
154	0.8250029363
155	0.8240316647
156	0.8220809458
157	0.8205503223
158	0.8196076436
159	0.818362886
160	0.8171636307
161	0.8162069738
162	0.8154035643
163	0.8138439623
164	0.8129233101
165	0.811886151
166	0.8106759694
167	0.8094698365
168	0.8080962065
169	0.8073659811
170	0.8061926883
171	0.8053249635
172	0.8045461476
173	0.8036050409
174	0.8019447791
175	0.8007124749
176	0.7995058688
177	0.7980318894
178	0.7973370659
179	0.7963915634
180	0.7952939339
181	0.7945683253
182	0.7932789441
183	0.7914826047
184	0.7897898213
185	0.7889941698
186	0.7881518459
187	0.7871446573
188	0.7864958377
189	0.7853815721
190	0.7843262394
191	0.7833789309
192	0.7820956254
193	0.781317124
194	0.7804400725
195	0.778914769
196	0.7783672091
197	0.7767979774
198	0.7753113969
199	0.7748303858
200	0.773183068
201	0.772511991
202	0.7716495238
203	0.7709939785
204	0.770029384
205	0.7692487858
206	0.7679598285
207	0.766742644
208	0.7662390139
209	0.7647311472
210	0.7638386193
211	0.7628189286
212	0.7617696439
213	0.7606415973
214	0.7599810949
215	0.7585199816
216	0.7576200024
217	0.756733351
218	0.7558323032
219	0.7546753517
220	0.7543827492
221	0.7529802381
222	0.7517431665
223	0.7510405456
224	0.7502072878
225	0.7494508607
226	0.7485880957
227	0.7478561019
228	0.7467150081
229	0.7456429266
230	0.7448994069
231	0.7434931863
232	0.7421129331
233	0.7409195358
234	0.7404615421
235	0.7397453619
236	0.7388485553
237	0.7380447021
238	0.7374580162
239	0.7368884054
240	0.7359108131
241	0.7346398376
242	0.7340170715
243	0.7329025959
244	0.732153966
245	0.7315549962
246	0.7308851028
247	0.7299419559
248	0.7294563601
249	0.7279915012
250	0.7274363953
251	0.7262381315
252	0.7257074266
253	0.7251290999
254	0.7241299346
255	0.722873992
256	0.7217858242
257	0.7211841645
258	0.7207454041
259	0.7199501298
260	0.7194616363
261	0.7184275585
262	0.7173294351
263	0.7162129566
264	0.7154837022
265	0.7143726566
266	0.7131124794
267	0.71206933
268	0.7113439081
269	0.7109313102
270	0.7104435223
271	0.709534572
272	0.7086602136
273	0.7072678427
274	0.7068136134
275	0.7058653202
276	0.704719957
277	0.7036601852
278	0.7023146652
279	0.7020568528
280	0.70171489
281	0.7006208451
282	0.6999072579
283	0.699481125
284	0.6988890658
285	0.6979968237
286	0.6972878329
287	0.6962947172
288	0.6954776505
289	0.6948784097
290	0.6941722884
291	0.6930689463
292	0.6923542295
293	0.6916209682
294	0.6911912315
295	0.6900718348
296	0.6894446838
297	0.6890640529
298	0.6875968762
299	0.6863749849
300	0.6859303257
301	0.6853699741
302	0.6850784276
303	0.6845582763
304	0.6838752011
305	0.683084722
306	0.6825563921
307	0.6816875956
308	0.6813749362
309	0.6805335519
310	0.6800409225
311	0.6795768196
312	0.6786628538
313	0.678303713
314	0.6774198737
315	0.6763477908
316	0.675999842
317	0.675104129
318	0.6744540217
319	0.6736073678
320	0.6733491599
321	0.6726874665
322	0.6722870506
323	0.671796483
324	0.6711298221
325	0.6704414218
326	0.6699708479
327	0.6694712215
328	0.6691558861
329	0.6684700752
330	0.6681428455
331	0.6677677666
332	0.6665240169
333	0.6656388577
334	0.664797582
335	0.6641894112
336	0.6630722363
337	0.6622366479
338	0.6614677557
339	0.6607631663
340	0.6603251213
341	0.6589742583
342	0.6583756638
343	0.6575858515
344	0.657105833
345	0.656080639
346	0.6553518348
347	0.6545926821
348	0.6540798041
349	0.6533703183
350	0.6523725988
351	0.6520958868
352	0.6516344102
353	0.6513040132
354	0.6504594034
355	0.6497294895
